NID_ID,STATE,DAM_NAME,OTHER_NAME,HAZARD,EAP,STATE_NAME,COUNTY,NEAR_CITY,DIST_CITY,RIVER,YEAR_COMPL,OWNER,OWN_TYPE,INSP_DATE
OH02463,OH,"HUDSON SPRINGS LAKE DAM",NULL,LOW,NULL,OHIO,SUMMIT,MORAN,1.7,"TR-TINKERS CREEK",1948,"HUDSON TOWNSHIP BOARD OF PARK COMM.","LOCAL GOV'T",NULL
OH02464,OH,"KNOLLWOOD LAKE DAM",NULL,HIGH,NULL,OHIO,SUMMIT,"COTTAGE GROVE",NULL,"TR-TUSCARAWAS RIVER",1960,"CARL PROSHNOW & KELLY REED",PRIVATE,"1985-11-06 00:00:00"
OH02467,OH,"PARK LAKE DAM",NULL,LOW,NULL,OHIO,SUMMIT,"MUNROE FALLS",0.5,"TR-CUYAHOGA RIVER",1937,"AKRON METRO PARK DISTRICT","LOCAL GOV'T","1992-03-24 00:00:00"
OH02470,OH,"RESERVOIR PARK UPGROUND",NULL,HIGH,NULL,OHIO,SUMMIT,"GOODYEAR HEIGHTS",1.5,NULL,1910,"CITY OF AKRON","LOCAL GOV'T","1990-07-26 00:00:00"
OH02471,OH,"SILVER CREEK LAKE DAM",NULL,SIGNIFICANT,YES,OHIO,SUMMIT,DOYLESTOWN,1.1,"SILVER CREEK",1990,"AKRON METROPOLITAN PARK DISTRICT","LOCAL GOV'T",NULL
OH02472,OH,"STEEPLECHASE LAKE DAM",NULL,HIGH,NULL,OHIO,SUMMIT,TALLMADGE,1.5,"TR-CUYAHOGA RIVER",1989,"EDWARD F. BARR CORPORATION",PRIVATE,NULL
OH02473,OH,"STEERE LAKE DAM",NULL,HIGH,NULL,OHIO,SUMMIT,BOTZUM,NULL,"TR-YELLOW CREEK",1950,"JOSEPH BOWEN STEERE, ET AL.",PRIVATE,"1990-07-31 00:00:00"
OH02475,OH,"TRITTS MILL POND DAM",NULL,LOW,NULL,OHIO,SUMMIT,"PORTAGE LAKES",NULL,"TUSCARAWAS RIVER",1911,"ANITA K. HIGY",PRIVATE,"1993-04-20 00:00:00"
OH02488,OH,"HOEHN LAKE DAM",NULL,LOW,NULL,OHIO,TRUMBULL,MESOPOTAMIA,NULL,"TR-GARDEN CREEK",NULL,"MATHIAS & VOSSLER",PRIVATE,NULL
OH02490,OH,"KINSMAN LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,TRUMBULL,KINSMAN,NULL,"STRATON CREEK",NULL,"KINSMAN LAKELANDS ASSOCIATION",PRIVATE,"1992-10-27 00:00:00"
OH02491,OH,"MCDANIEL LAKE DAM",NULL,LOW,N/R,OHIO,TRUMBULL,MESOPOTAMIA,NULL,"TR-PLUM CREEK",NULL,"HOMER MCDANIEL",PRIVATE,NULL
OH02492,OH,"MCDONALD INDUSTRIAL DAM",NULL,LOW,NULL,OHIO,TRUMBULL,GIRAND,NULL,"MAHONING RIVER",NULL,"MCDONALD STEEL CORPORATION",PRIVATE,NULL
OH02493,OH,"PARADISE LAKES CAMPGROUND LAKE DAM",NULL,LOW,NULL,OHIO,TRUMBULL,CHAMPION,NULL,"TR-CENTER CREEK",NULL,"MAURICE & MARY LOU YOUNG",PRIVATE,NULL
OH02495,OH,"STEELE PROPERTY LAKE DAM",NULL,LOW,NULL,OHIO,TRUMBULL,"EAST FARMINGTON",NULL,"TR-GRAND RIVER",NULL,"ODNR, DIVISION OF WILDLIFE",STATE,NULL
OH02501,OH,"TWELEVE PACK LAKE DAM",NULL,LOW,NO,OHIO,TUSCARAWAS,KIMBOLTON,18.8,"ROCKY FORK",1985,"TWELEVE PACK PROPERTY OWNERS",PRIVATE,"1995-07-06 00:00:00"
OH02503,OH,"DEVILS DEN PARK LAKE NO. 2 DAM",NULL,LOW,NULL,OHIO,TUSCARAWAS,NEWPORT,NULL,"TR-PHILLIPS FORK",NULL,"JEFFERY E. BAIR",PRIVATE,NULL
OH02505,OH,"GUNDY LAKE DAM",NULL,LOW,NULL,OHIO,TUSCARAWAS,"STONE CREEK",1.4,"TR-STONE CREEK",1949,"RON GUNDY, LEONARD GUNDY, SUSAN DAY",PRIVATE,NULL
OH02511,OH,"LINEBACK LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,TUSCARAWAS,MIZERS,NULL,"TR-TUSCARAWAS RIVER",NULL,"NANCY A. & JAMES H. LINEBACK",PRIVATE,"1991-04-15 00:00:00"
OH02512,OH,"LINARD LAKE DAM",NULL,LOW,NULL,OHIO,TUSCARAWAS,"NEW CUMBERLAND",NULL,"TR-CONOTTON CREEK",1975,"D GARY LINARD",PRIVATE,"1976-11-18 00:00:00"
OH02516,OH,"MEESE LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,TUSCARAWAS,"NEW PHILADELPHIA",NULL,"TR-CROOKED RUN",1972,"PATRICIA MEESE",PRIVATE,"1991-04-15 00:00:00"
OH02517,OH,"MEMORY LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,TUSCARAWAS,NEWCOMERSTOWN,NULL,"TR-TUSCARAWAS RIVER",NULL,"STEVEN W. BRODE",PRIVATE,"1991-05-14 00:00:00"
OH02523,OH,"SLEEPY HOLLOW LAKE DAM",NULL,HIGH,NULL,OHIO,TUSCARAWAS,NEWPORT,NULL,"TR-FALLEN TIMBER CREEK",NULL,"DR. PHILLIP H. DIXON",PRIVATE,"1991-04-15 00:00:00"
OH02524,OH,"SNYDER'S HORSE FARM POND DAM",NULL,HIGH,NULL,OHIO,TUSCARAWAS,DOVER,NULL,"TR-TUSCARAWAS RIVER",1961,"HAROLD I. SNYDER",PRIVATE,"1991-05-14 00:00:00"
OH02525,OH,"SUGARCREEK SPORTSMAN CLUB LAKE DAM",NULL,HIGH,NULL,OHIO,TUSCARAWAS,BALTIC,NULL,"TR-BRUSH RUN",NULL,"SUGARCREEK SPORTSMAN CLUB, INC.",PRIVATE,"1989-04-07 00:00:00"
OH02528,OH,"WILLIAM'S LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,TUSCARAWAS,"SOUTH SIDE",NULL,"TR-OLDTOWN CREEK",1944,"ROBERT TREHERNE",PRIVATE,"1989-03-22 00:00:00"
OH02529,OH,"WINROD LAKE DAM",NULL,LOW,NULL,OHIO,TUSCARAWAS,GNADENHUTTEN,NULL,"TR-TUSCARAWAS RIVER",NULL,"ROGER HINDMAN & DENNIS WINROD",PRIVATE,"1976-03-19 00:00:00"
OH02533,OH,"SANESE LAKE DAM",NULL,LOW,N/R,OHIO,UNION,"MILFORD CENTER",NULL,"TR-MILL CREEK",NULL,"RALPH SANESE, SR.",PRIVATE,NULL
OH02535,OH,"WEDDING LAKE DAM",NULL,LOW,NO,OHIO,UNION,"YORK CENTER",2,"TR-BOKES CREEK",1970,"WEDDING INVESTMENTS, LIMITED",PRIVATE,"1995-05-10 00:00:00"
OH02540,OH,"BROADSTONE LAKE DAM",NULL,LOW,NULL,OHIO,VINTON,MCARTHUR,NULL,"TR-ELK FORK",1974,"ANDREW J. BROADSTONE",PRIVATE,NULL
OH02543,OH,"FULLER LAKE DAM",NULL,LOW,NULL,OHIO,VINTON,ZALESKI,NULL,"TR-RACCOON CREEK",1977,"RANDY A FULLER",PRIVATE,NULL
OH02544,OH,"GEORGE'S POND DAM",NULL,LOW,NO,OHIO,VINTON,SIVERLY,NULL,"TR-SIVERLY CREEK",1960,"MRS. ARTHUR J. GEORGE",PRIVATE,"1989-03-03 00:00:00"
OH02548,OH,"TENNESSEE GAS LAKE DAM",NULL,LOW,NULL,OHIO,VINTON,EWINGTON,NULL,"TR-FLAT RUN",NULL,"TENNESSEE GAS PIPELINE COMPANY",PRIVATE,NULL
OH02553,OH,"ARNETT LAKE DAM",NULL,SIGNIFICANT,NULL,OHIO,WARREN,"SOUTH LEBANON",NULL,"TR-NORTH FORK",1967,"JAMES ARNETT",PRIVATE,"1991-07-24 00:00:00"
OH02556,OH,"CHAPPELL LAKE NO. 1 DAM",NULL,SIGNIFICANT,NULL,OHIO,WARREN,MORROW,NULL,"TR-LITTLE MIAMI RIVER",NULL,"EDNA CHAPPELL",PRIVATE,"1994-06-02 00:00:00"
